"occurrenceID"	"basisOfRecord"	"institutionCode"	"collectionCode"	"catalogNumber"	"voucherNONDWC"	"tipoNONDWC"	"language"	"institutionID"	"collectionID"	"ID.del.conjunto.de.datos.NONDWC"	"Nombre.del.conjunto.de.datos.NONDWC"	"Comentarios.del.registro.biologico.NONDWC"	"Numero.de.registro.NONDWC"	"recordedBy"	"individualCount"	"sex"	"lifeStage"	"preparations"	"otherCatalogNumbers"	"samplingProtocol"	"eventDate"	"Hora.del.evento.NONDWC"	"verbatimEventDate"	"Habitat.NONDWC"	"Numero.de.campo.NONDWC"	"Comentarios.del.evento.NONDWC"	"ID.de.la.ubicacion.NONDWC"	"higherGeography"	"Continente.NONDWC"	"Cuerpo.de.agua.NONDWC"	"country"	"countryCode"	"Subcuenca.NONDWC"	"stateProvince"	"county"	"Centro.poblado...NONDWC"	"locality"	"verbatimLocality"	"verbatimElevation"	"Elevacion.Minima.NONDWC"	"Elevacion.Maxima.NONDWC"	"Profundidad.original.NONDWC"	"verbatimCoordinates"	"verbatimLatitude"	"verbatimLongitude"	"verbatimCoordinateSystem"	"SRS.original.NONDWC"	"decimalLatitude"	"decimalLongitude"	"Datum.NONDWC"	"Incertidumbre.coordenadas.NONDWC"	"Identificado.por.NONDWC"	"Fecha.georreferenciacion.NONDWC"	"Protocolo.de.georreferenciacion.NONDWC"	"Fuentes.de.georreferenciacion.NONDWC"	"Comentarios.georreferenciacion.NONDWC"	"Error.georreferenciacion.NONDWC"	"identifiedBy"	"dateIdentified"	"identificationQualifier"	"Nombre.original.NONDWC"	"kingdom"	"phylum"	"class"	"order"	"family"	"genus"	"specificEpithet"	"scientificName"	"scientificNameAuthorship"	"taxonRank"	"Categoria.original.del.taxon.NONDWC"	"taxonomicStatus"	"validForOrinoco"	"threatRank"	"endemic"	"ODC"	"migratory"	"eventDateMonthYear"
"UN:ICN-MHN:000607"	"Especímen preservado"	"UN"	"ICN-MHN"	607	"ICN607"	"Objeto físico"	"es"	"899.999.063-3"	"Registro Nacional de Colecciones: 5"	NA	NA	NA	NA	NA	2	NA	NA	"Animal completo (ETOH)"	NA	NA	"2/26/1971"	NA	"2/26/1971"	NA	NA	"Caneca 7"	"CO:85139"	"\"América, Sudamérica, Colombia, Casanare, Maní\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Maní"	NA	"\"Cabeceras caño Casimena, afluente río Cusiana, entre Maní y Santa Elena de Cusiva\""	"Entre Maní y Santa Elena de Cusiva. Cabeceras caño Casimena afluente río Cusiana"	160	NA	NA	NA	NA	NA	NA	NA	NA	4.716209	-72.07405	"WGS84"	NA	"Diana Carolina Angulo"	"3/13/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas se ubican en la cabecera del caño Casimena (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Plutarco Cala"	"03/01/1974"	NA	"Hoplias malabaricus"	"Animalia"	"Chordata"	"Actinopterygii"	"Characiformes"	"Erythrinidae"	"Hoplias"	"malabaricus"	"Hoplias malabaricus"	"\"(Bloch, 1794)\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"02-1971"
"UN:ICN-MHN:000654"	"Especímen preservado"	"UN"	"ICN-MHN"	654	"ICN654"	"Objeto físico"	"es"	"899.999.063-3"	"Registro Nacional de Colecciones: 5"	NA	NA	NA	NA	NA	1	NA	NA	"Animal completo (ETOH)"	NA	NA	"2/26/1971"	NA	"2/26/1971"	NA	NA	NA	"CO:85139"	"\"América, Sudamérica, Colombia, Casanare, Maní\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Maní"	NA	"\"Sistema río Meta, caño Materro\""	"Caño Materro. Sistema río Meta"	165	NA	NA	NA	NA	NA	NA	NA	NA	4.751608	-72.12994	"WGS84"	NA	"Diana Carolina Angulo"	"3/13/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas se ubican en el caño Materro (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	NA	NA	NA	"Hoplerythrinus unitaeniatus"	"Animalia"	"Chordata"	"Actinopterygii"	"Characiformes"	"Erythrinidae"	"Hoplerythrinus"	"unitaeniatus"	"Hoplerythrinus unitaeniatus"	"\"(Spix and Agassiz, 1829)\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"02-1971"
"UN:ICN-MHN:000655"	"Especímen preservado"	"UN"	"ICN-MHN"	655	"ICN655"	"Objeto físico"	"es"	"899.999.063-3"	"Registro Nacional de Colecciones: 5"	NA	NA	NA	NA	NA	3	NA	NA	"Animal completo (ETOH)"	NA	NA	"2/22/1971"	NA	"2/22/1971"	NA	NA	NA	"CO:85139"	"\"América, Sudamérica, Colombia, Casanare, Maní\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Maní"	NA	"\"Sistema río Meta, caño Curital, afluente río Cusiana\""	"Maní. Caño Curital afluente río Cusiana. Sistema río Meta"	183	NA	NA	NA	NA	NA	NA	NA	NA	4.897185	-72.24787	"WGS84"	NA	"Diana Carolina Angulo"	"3/13/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + http://www.anla.gov.co/documentos/res_0314_200207.pdf"	"\"Coordenadas se ubican en el caño Curital, municipio de Maní (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 2)\""	NA	"Plutarco Cala"	"08/01/1974"	NA	"Hoplerythrinus unitaeniatus"	"Animalia"	"Chordata"	"Actinopterygii"	"Characiformes"	"Erythrinidae"	"Hoplerythrinus"	"unitaeniatus"	"Hoplerythrinus unitaeniatus"	"\"(Spix and Agassiz, 1829)\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"02-1971"
"UN:ICN-MHN:000661"	"Especímen preservado"	"UN"	"ICN-MHN"	661	"ICN661"	"Objeto físico"	"es"	"899.999.063-3"	"Registro Nacional de Colecciones: 5"	NA	NA	NA	NA	NA	7	NA	NA	"Animal completo (ETOH)"	NA	NA	"2/19/1971"	NA	"2/19/1971"	NA	NA	"Caneca 7"	"CO:85139"	"\"América, Sudamérica, Colombia, Casanare, Maní\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Maní"	NA	"\"Sistema río Meta, caño Curital, afluente río Cusiana\""	"Maní. Caño Curital afluente río Cusiana. Sistema río Meta"	183	NA	NA	NA	NA	NA	NA	NA	NA	4.897185	-72.24787	"WGS84"	NA	"Diana Carolina Angulo"	"3/13/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + http://www.anla.gov.co/documentos/res_0314_200207.pdf"	"\"Coordenadas se ubican en el caño Curital, municipio de Maní (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 2)\""	NA	"Plutarco Cala"	"08/01/1974"	NA	"Hoplias malabaricus"	"Animalia"	"Chordata"	"Actinopterygii"	"Characiformes"	"Erythrinidae"	"Hoplias"	"malabaricus"	"Hoplias malabaricus"	"\"(Bloch, 1794)\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"02-1971"
"UN:ICN-MHN:000981"	"Especímen preservado"	"UN"	"ICN-MHN"	981	"ICN981"	"Objeto físico"	"es"	"899.999.063-3"	"Registro Nacional de Colecciones: 5"	NA	NA	NA	NA	NA	5	NA	NA	"Animal completo (ETOH)"	NA	NA	"09/06/1981"	NA	"06/09/1981"	NA	NA	NA	"CO:85010"	"\"América, Sudamérica, Colombia, Casanare, Aguazul\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Aguazul"	NA	"Quebrada Costa Grande"	"Aguazul. Quebrada Costa Grande. 860 m"	864	NA	NA	NA	NA	NA	NA	NA	NA	5.279766	-72.695178	"WGS84"	NA	"Diana Carolina Angulo"	"12/03/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas se ubican entre el municipio de Aguazul (Casanare) y Pajarito (Boyacá) a 860 msnm (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 3)\""	NA	"César Román-Valencia"	"11/01/1985"	NA	"Creagrutus beni"	"Animalia"	"Chordata"	"Actinopterygii"	"Characiformes"	"Characidae"	"Creagrutus"	"atratus"	"Creagrutus atratus"	"\"Vari & Harold, 2001\""	"Especie"	NA	"Aceptado"	"No"	"No"	"Si"	"No"	"No"	"09-1981"
"IAvH:IAvH:001832"	"Especímen preservado"	"IAvH"	"IAvH-P"	1832	"IAVH1832"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"José I. Mojica"	1	NA	NA	"Animal completo (ETOH)"	NA	NA	"10/01/1992"	NA	"10/01/1992"	NA	NA	"BP Exploration"	"CO:85010"	"\"América, Sudamérica, Colombia, Casanare, Aguazul\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Aguazul"	NA	"\"Quebrada Turubeña, afluente del río Cusiana\""	"Qda. Turubeña afluente del río Cusiana"	395	NA	NA	NA	NA	NA	NA	NA	NA	5.041403	-72.67063	"WGS84"	NA	"Irene Aconcha"	"03/10/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden a la quebrada Turubeña, cuenca del río Cusiana. Se corrige municipio, no es Tauramena sino Aguazul. (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"José I. Mojica"	NA	NA	"Aequidens tetramerus"	"Animalia"	"Chordata"	"Actinopterygii"	"Cichliformes"	"Cichlidae"	"Aequidens"	"tetramerus"	"Aequidens tetramerus"	"\"(Heckel, 1840)\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"10-1992"
"IAvH:IAvH:001836"	"Especímen preservado"	"IAvH"	"IAvH-P"	1836	"IAVH1836"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"José I. Mojica"	10	NA	NA	"Animal completo (ETOH)"	NA	NA	"10/01/1992"	NA	"10/01/1992"	NA	NA	"BP Exploration"	"CO:85010"	"\"América, Sudamérica, Colombia, Casanare, Aguazul\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Aguazul"	NA	"\"Quebrada Turubeña, afluente del río Cusiana\""	"Qda. Turubeña afluente del río Cusiana"	395	NA	NA	NA	NA	NA	NA	NA	NA	5.041403	-72.67063	"WGS84"	NA	"Irene Aconcha"	"03/10/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden a la quebrada Turubeña, cuenca del río Cusiana. Se corrige municipio, no es Tauramena sino Aguazul. (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Jonathan Armbruster"	"11/07/2006"	NA	"Hypostomus niceforoi"	"Animalia"	"Chordata"	"Actinopterygii"	"Siluriformes"	"Loricariidae"	"Hypostomus"	"niceforoi"	"Hypostomus niceforoi"	"\"(Fowler, 1943)\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"10-1992"
"IAvH:IAvH:001838"	"Especímen preservado"	"IAvH"	"IAvH-P"	1838	"IAVH1838"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"José I. Mojica"	1	NA	NA	"Animal completo (ETOH)"	NA	NA	"10/01/1992"	NA	"10/01/1992"	NA	NA	"BP Exploration"	"CO:85010"	"\"América, Sudamérica, Colombia, Casanare, Aguazul\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Aguazul"	NA	"\"Quebrada Turubeña, afluente del río Cusiana\""	"Qda. Turubeña afluente del río Cusiana"	395	NA	NA	NA	NA	NA	NA	NA	NA	5.041403	-72.67063	"WGS84"	NA	"Irene Aconcha"	"03/10/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden a la quebrada Turubeña, cuenca del río Cusiana. Se corrige municipio, no es Tauramena sino Aguazul. (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"José I. Mojica"	NA	NA	"Sternopygus macrurus"	"Animalia"	"Chordata"	"Actinopterygii"	"Gymnotiformes"	"Sternopygidae"	"Sternopygus"	"macrurus"	"Sternopygus macrurus"	"\"(Bloch & Schneider, 1801)\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"10-1992"
"IAvH:IAvH:001839"	"Especímen preservado"	"IAvH"	"IAvH-P"	1839	"IAVH1839"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Auditoria Ambiental"	1	NA	NA	"Animal completo (ETOH)"	NA	NA	"1/18/1993"	NA	"1/18/1993"	NA	NA	"Proyecto inyección aguas de formación"	"CO:85410"	"\"América, Sudamérica, Colombia, Casanare, Tauramena\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Tauramena"	NA	"\"Piscina pozo Leticia, aledaño caño Iquía\""	"\"Piscinas pozo Leticia, aledaño caño Iquia\""	236	NA	NA	NA	NA	NA	NA	NA	NA	4.963594	-72.59901	"WGS84"	NA	"Irene Aconcha"	"03/10/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden al caño Iquia. No se localizó el pozo Leticia (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Juan D. Bogotá"	"1/14/2004"	NA	"Aphyocharax alburnus"	"Animalia"	"Chordata"	"Actinopterygii"	"Characiformes"	"Characidae"	"Aphyocharax"	"alburnus"	"Aphyocharax alburnus"	"\"(Günther, 1869)\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"01-1993"
"IAvH:IAvH:001840"	"Especímen preservado"	"IAvH"	"IAvH-P"	1840	"IAVH1840"	"Objeto físico"	"es"	"820.000.142-2"	"Registro Nacional de Colecciones: 3"	NA	NA	NA	NA	"Auditoria Ambiental"	1	NA	NA	"Animal completo (ETOH)"	NA	NA	"1/22/1993"	NA	"1/22/1993"	NA	NA	"Proyecto inyección aguas de formación"	"CO:85410"	"\"América, Sudamérica, Colombia, Casanare, Tauramena\""	"SA"	NA	"Colombia"	"CO"	"Meta"	"Casanare"	"Tauramena"	NA	"Río Chitamena"	"Río Chitamena"	332	NA	NA	NA	"4 54 0 -72 30 0"	"4 54 0"	"72 30 0"	NA	NA	4.943011	-72.75284	"WGS84"	NA	"Irene Aconcha"	"03/10/2015"	"\"Sua, S., Mateus, R.D. Y Vargas J.C. (2004) Georeferenciación de registros biológicos y gacetero digital de localidades. Instituto de Investigación de Recursos Biológicos Alexander von Humboldt. Bogotá, Colombia. 69p\""	"Google Earth + Geoportal IGAC"	"\"Coordenadas corresponden al río Chitamena (Calidad de la georreferenciación, frente a la utilización de la información de la localidad: 4)\""	NA	"Mauricio Camargo"	NA	NA	"Xenagoniates bondi"	"Animalia"	"Chordata"	"Actinopterygii"	"Characiformes"	"Characidae"	"Xenagoniates"	"bondi"	"Xenagoniates bondi"	"\"Myers, 1942\""	"Especie"	NA	"Aceptado"	"Si"	"No"	"No"	"No"	"No"	"01-1993"
